Model,MAE,RMSE,R2
Linear Regression,9.90703817579445,14.316210978509622,0.9802574454474086
Random Forest,13.915906642728897,18.334115329603716,0.9676207276597993
Gradient Boosting,13.168820384268729,17.832206714657147,0.9693692700364522
