Date,Actual_Price,ARIMA_Forecast,SARIMA_Forecast
2017-06-16,2874,2908.5264140090853,2944.1862020519948
2017-06-17,2869,2908.1645803117126,2944.416414591933
2017-06-18,2869,2907.8037443958683,2944.5974531061256
2017-06-19,2859,2907.4439035100995,2944.859981719237
2017-06-20,2853,2907.085054910542,2945.11298897934
2017-06-21,2854,2906.727195860898,2945.322662482397
2017-06-22,2868,2906.370323632415,2945.56051024376
2017-06-23,2874,2906.0144355038647,2945.795939918813
2017-06-24,2873,2905.6595287615237,2946.0169085631724
2017-06-25,2873,2905.3056006991515,2946.266013507937
2017-06-26,2847,2904.9526486179698,2946.496791609117
2017-06-27,2856,2904.600669826643,2946.7100767542506
2017-06-28,2860,2904.2496616412564,2946.9353733843527
2017-06-29,2851,2903.899621385297,2947.1194755765137
2017-06-30,2847,2903.5505463896325,2947.372306118772
2017-07-01,2844,2903.2024339924906,2947.5780722514573
2017-07-02,2844,2902.8552815394387,2947.8587268781175
2017-07-03,2815,2902.509086383365,2948.0936085873195
2017-07-04,2813,2902.163845884456,2948.3033462787503
2017-07-05,2809,2901.8195574101787,2948.516758557561
2017-07-06,2811,2901.4762183352586,2948.75351188509
2017-07-07,2786,2901.133826041662,2948.954946709656
2017-07-08,2778,2900.792377918573,2949.1726517167385
2017-07-09,2778,2900.451871362376,2949.399110349752
2017-07-10,2772,2900.112303776635,2949.6678115555264
2017-07-11,2769,2899.7736725720742,2949.9280718798655
2017-07-12,2793,2899.4359751665575,2950.1507558905437
2017-07-13,2786,2899.0992089850683,2950.359496748211
2017-07-14,2798,2898.7633714596927,2950.637731512408
2017-07-15,2800,2898.428460029597,2950.870507199109
2017-07-16,2800,2898.0944721410083,2951.1303618287743
2017-07-17,2810,2897.7614052471977,2951.3611554168647
2017-07-18,2824,2897.429256808458,2951.5604901559245
2017-07-19,2822,2897.0980242920855,2951.8119751523805
2017-07-20,2830,2896.7677051723604,2952.0573741759245
2017-07-21,2848,2896.438296930529,2952.275051411745
2017-07-22,2854,2896.109797054781,2952.510763270116
2017-07-23,2854,2895.7822030402353,2952.744934381585
2017-07-24,2855,2895.455512388916,2952.969858730838
2017-07-25,2846,2895.129722609736,2953.212793415747
2017-07-26,2836,2894.8048312184787,2953.444007690629
2017-07-27,2842,2894.4808357377765,2953.664035142332
2017-07-28,2853,2894.1577336970936,2953.8917550156893
2017-07-29,2858,2893.835522632708,2954.09312200876
2017-07-30,2858,2893.5142000876904,2954.3384733018383
2017-07-31,2859,2893.1937636118864,2954.553715649624
2017-08-01,2848,2892.8742107618996,2954.816884039321
2017-08-02,2847,2892.55553910107,2955.0507698822103
2017-08-03,2847,2892.2377461994574,2955.268573159006
2017-08-04,2844,2891.920829633822,2955.4887342632246
2017-08-05,2841,2891.604786987607,2955.7238373324035
2017-08-06,2841,2891.289615850919,2955.9363474072306
2017-08-07,2845,2890.9753138205097,2956.1592749559304
2017-08-08,2833,2890.661878499758,2956.3878102994076
2017-08-09,2877,2890.3493074986523,2956.6433822803274
2017-08-10,2919,2890.0375984337716,2956.893559669122
2017-08-11,2917,2889.726748928266,2957.1196993426074
2017-08-12,2920,2889.4167566118413,2957.336923642159
2017-08-13,2920,2889.107619120739,2957.5986221116423
2017-08-14,2908,2888.7993340977196,2957.8312388597624
2017-08-15,2908,2888.491899192042,2958.0811893744594
2017-08-16,2890,2888.18531205945,2958.312550912144
2017-08-17,2910,2887.87957036215,2958.5237891689585
2017-08-18,2933,2887.574671768795,2958.7684037777944
2017-08-19,2916,2887.270613954468,2959.0091306533986
2017-08-20,2916,2886.967394600662,2959.2321255131883
2017-08-21,2924,2886.665011395264,2959.466666880475
2017-08-22,2910,2886.3634620325374,2959.700228906443
2017-08-23,2915,2886.062744213102,2959.9278806815173
2017-08-24,2907,2885.762855643921,2960.167063424974
2017-08-25,2911,2885.4637940382777,2960.3987530856116
2017-08-26,2917,2885.165557115764,2960.623291094457
2017-08-27,2917,2884.868142602258,2960.8527578664816
2017-08-28,2926,2884.5715482299106,2961.065368560619
2017-08-29,2978,2884.2757717371255,2961.3061303954846
2017-08-30,2955,2883.9808108685424,2961.527632729918
2017-08-31,2971,2883.686663375022,2961.7798084402466
2017-09-01,2978,2883.393327013625,2962.0132534454233
2017-09-02,2982,2883.100799547599,2962.236414123943
2017-09-03,2982,2882.8090787463584,2962.4610900794514
2017-09-04,3011,2882.5181623854696,2962.695333625908
2017-09-05,3014,2882.2280482466326,2962.9151269670765
2017-09-06,3020,2881.938734117664,2963.1415927776643
2017-09-07,3026,2881.6502177924813,2963.37165345008
2017-09-08,3026,2881.362497071085,2963.6190208309968
2017-09-09,3027,2881.0755697595423,2963.862942888839
2017-09-10,3027,2880.789433669971,2964.0914902987215
2017-09-11,3001,2880.5040866205213,2964.3143395155407
2017-09-12,2990,2880.2195264353604,2964.565653337282
2017-09-13,2988,2879.9357509446554,2964.7983649638218
2017-09-14,2992,2879.652757984557,2965.042174647806
2017-09-15,2987,2879.3705453971825,2965.274096214459
2017-09-16,2986,2879.0891110305997,2965.4931478969256
2017-09-17,2986,2878.808452738812,2965.7335629367444
2017-09-18,2963,2878.528568381738,2965.9714968640446
2017-09-19,2967,2878.249455825199,2966.198091026731
2017-09-20,2978,2877.971112940903,2966.4320801098597
2017-09-21,2951,2877.6935376064234,2966.66544909817
2017-09-22,2963,2877.4167277051897,2966.895042811348
2017-09-23,2959,2877.1406811264665,2967.1320215033707
2017-09-24,2959,2876.8653957653382,2967.3642121018747
2017-09-25,2979,2876.590869522695,2967.591833081595
2017-09-26,2992,2876.3171003052153,2967.8226144354785
2017-09-27,2976,2876.044086025349,2968.042616522314
2017-09-28,2957,2875.7718246013037,2968.280638474112
2017-09-29,2961,2875.5003139570267,2968.5063432625466
2017-09-30,2956,2875.229552022192,2968.751681839904
2017-10-01,2956,2874.95953673218,2968.985041619421
2017-10-02,2956,2874.6902660280657,2969.2118272538523
